index,Time,Location,Temperature,Brightness
164,8,1,-0.691824111,0
165,9,1,-0.481366327,0
166,10,1,-0.238104224,0
167,11,1,0.021384289,0.021384289
168,12,1,0.279415498,0.279415498
169,13,1,0.518405003,0.518405003
170,14,1,0.722066063,0.722066063
171,15,1,0.876519514,0.876519514
172,16,1,0.971239609,0.971239609
173,17,1,0.99977133,0.99977133
174,18,1,0.960170287,0.960170287
175,19,1,0.855135225,0.855135225
176,20,1,0.691824111,0.691824111
177,21,1,0.481366327,0.481366327
178,22,1,0.238104224,0.238104224
179,23,1,-0.021384289,0
180,0,1,-0.279415498,0
181,1,1,-0.518405003,0
182,2,1,-0.722066063,0
183,3,1,-0.876519514,0
184,4,1,-0.971239609,0
185,5,1,-0.99977133,0
186,6,1,-0.960170287,0
187,7,1,-0.855135225,0
188,8,1,-0.691824111,0
189,9,1,-0.481366327,0
190,10,1,-0.238104224,0
191,11,1,0.021384289,0.021384289
192,12,1,0.279415498,0.279415498
193,13,1,0.518405003,0.518405003
194,14,1,0.722066063,0.722066063
195,15,1,0.876519514,0.876519514
196,16,1,0.971239609,0.971239609
197,17,1,0.99977133,0.99977133
198,18,1,0.960170287,0.960170287
199,19,1,0.855135225,0.855135225
200,20,1,0.691824111,0.691824111
201,21,1,0.481366327,0.481366327
202,22,1,0.238104224,0.238104224
203,23,1,-0.021384289,0
204,0,1,-0.279415498,0
205,1,1,-0.518405003,0
206,2,1,-0.722066063,0
207,3,1,-0.876519514,0
208,4,1,-0.971239609,0
209,5,1,-0.99977133,0
210,6,1,-0.960170287,0
211,7,1,-0.855135225,0
212,8,1,-0.691824111,0
213,9,1,-0.481366327,0
214,10,1,-0.238104224,0
215,11,1,0.021384289,0.021384289
216,12,1,0.279415498,0.279415498
217,13,1,0.518405003,0.518405003
218,14,1,0.722066063,0.722066063
219,15,1,0.876519514,0.876519514
220,16,1,0.971239609,0.971239609
221,17,1,0.99977133,0.99977133
222,18,1,0.960170287,0.960170287
223,19,1,0.855135225,0.855135225
224,20,1,0.691824111,0.691824111
225,21,1,0.481366327,0.481366327
226,22,1,0.238104224,0.238104224
227,23,1,-0.021384289,0
228,0,1,-0.279415498,0
229,1,1,-0.518405003,0
230,2,1,-0.722066063,0
231,3,1,-0.876519514,0
232,4,1,-0.971239609,0
233,5,1,-0.99977133,0
234,6,1,-0.960170287,0
235,7,1,-0.855135225,0
236,8,1,-0.691824111,0
237,9,1,-0.481366327,0
238,10,1,-0.238104224,0
239,11,1,0.021384289,0.021384289
240,12,1,0.279415498,0.279415498
241,13,1,0.518405003,0.518405003
242,14,1,0.722066063,0.722066063
243,15,1,0.876519514,0.876519514
244,16,1,0.971239609,0.971239609
245,17,1,0.99977133,0.99977133
246,18,1,0.960170287,0.960170287
247,19,1,0.855135225,0.855135225
248,20,1,0.691824111,0.691824111
249,21,1,0.481366327,0.481366327
250,22,1,0.238104224,0.238104224
251,23,1,-0.021384289,0
252,0,1,-0.279415498,0
253,1,1,-0.518405003,0
254,2,1,-0.722066063,0
255,3,1,-0.876519514,0
256,4,1,-0.971239609,0
257,5,1,-0.99977133,0
258,6,1,-0.960170287,0
259,7,1,-0.855135225,0
260,8,1,-0.691824111,0
261,9,1,-0.481366327,0
262,10,1,-0.238104224,0
263,11,1,0.021384289,0.021384289
264,12,1,0.279415498,0.279415498
265,13,1,0.518405003,0.518405003
266,14,1,0.722066063,0.722066063
267,15,1,0.876519514,0.876519514
268,16,1,0.971239609,0.971239609
269,17,1,0.99977133,0.99977133
270,18,1,0.960170287,0.960170287
271,19,1,0.855135225,0.855135225
272,20,1,0.691824111,0.691824111
273,21,1,0.481366327,0.481366327
274,22,1,0.238104224,0.238104224
275,23,1,-0.021384289,0
276,0,1,-0.279415498,0
277,1,1,-0.518405003,0
278,2,1,-0.722066063,0
279,3,1,-0.876519514,0
280,4,1,-0.971239609,0
281,5,1,-0.99977133,0
282,6,1,-0.960170287,0
283,7,1,-0.855135225,0
284,8,1,-0.691824111,0
285,9,1,-0.481366327,0
286,10,1,-0.238104224,0
287,11,1,0.021384289,0.021384289
288,12,1,0.279415498,0.279415498
289,13,1,0.518405003,0.518405003
290,14,1,0.722066063,0.722066063
291,15,1,0.876519514,0.876519514
292,16,1,0.971239609,0.971239609
293,17,1,0.99977133,0.99977133
294,18,1,0.960170287,0.960170287
295,19,1,0.855135225,0.855135225
296,20,1,0.691824111,0.691824111
297,21,1,0.481366327,0.481366327
298,22,1,0.238104224,0.238104224
299,23,1,-0.021384289,0
300,0,1,-0.279415498,0
301,1,1,-0.518405003,0
302,2,1,-0.722066063,0
303,3,1,-0.876519514,0
304,4,1,-0.971239609,0
305,5,1,-0.99977133,0
306,6,1,-0.960170287,0
307,7,1,-0.855135225,0
308,8,1,-0.691824111,0
309,9,1,-0.481366327,0
310,10,1,-0.238104224,0
311,11,1,0.021384289,0.021384289
312,12,1,0.279415498,0.279415498
313,13,1,0.518405003,0.518405003
314,14,1,0.722066063,0.722066063
315,15,1,0.876519514,0.876519514
316,16,1,0.971239609,0.971239609
317,17,1,0.99977133,0.99977133
318,18,1,0.960170287,0.960170287
319,19,1,0.855135225,0.855135225
320,20,1,0.691824111,0.691824111
321,21,1,0.481366327,0.481366327
322,22,1,0.238104224,0.238104224
323,23,1,-0.021384289,0
324,0,1,-0.279415498,0
325,1,1,-0.518405003,0
326,2,1,-0.722066063,0
327,3,1,-0.876519514,0
328,4,1,-0.971239609,0
329,5,1,-0.99977133,0
330,6,1,-0.960170287,0
331,7,1,-0.855135225,0
332,8,1,-0.691824111,0
333,9,1,-0.481366327,0
334,10,1,-0.238104224,0
335,11,1,0.021384289,0.021384289
336,12,1,0.279415498,0.279415498
337,13,1,0.518405003,0.518405003
338,14,1,0.722066063,0.722066063
339,15,1,0.876519514,0.876519514
340,16,1,0.971239609,0.971239609
341,17,1,0.99977133,0.99977133
342,18,1,0.960170287,0.960170287
343,19,1,0.855135225,0.855135225
344,20,1,0.691824111,0.691824111
345,21,1,0.481366327,0.481366327
346,22,1,0.238104224,0.238104224
347,23,1,-0.021384289,0
348,0,1,-0.279415498,0
349,1,1,-0.518405003,0
350,2,1,-0.722066063,0
351,3,1,-0.876519514,0
352,4,1,-0.971239609,0
353,5,1,-0.99977133,0
354,6,1,-0.960170287,0
355,7,1,-0.855135225,0
356,8,1,-0.691824111,0
357,9,1,-0.481366327,0
358,10,1,-0.238104224,0
359,11,1,0.021384289,0.021384289
360,12,1,0.279415498,0.279415498
361,13,1,0.518405003,0.518405003
362,14,1,0.722066063,0.722066063
363,15,1,0.876519514,0.876519514
364,16,1,0.971239609,0.971239609
365,17,1,0.99977133,0.99977133
366,18,1,0.960170287,0.960170287
367,19,1,0.855135225,0.855135225
368,20,1,0.691824111,0.691824111
369,21,1,0.481366327,0.481366327
370,22,1,0.238104224,0.238104224
371,23,1,-0.021384289,0
372,0,1,-0.279415498,0
373,1,1,-0.518405003,0
374,2,1,-0.722066063,0
375,3,1,-0.876519514,0
376,4,1,-0.971239609,0
377,5,1,-0.99977133,0
378,6,1,-0.960170287,0
379,7,1,-0.855135225,0
380,8,1,-0.691824111,0
381,9,1,-0.481366327,0
382,10,1,-0.238104224,0
383,11,1,0.021384289,0.021384289
384,12,1,0.279415498,0.279415498
385,13,1,0.518405003,0.518405003
386,14,1,0.722066063,0.722066063
387,15,1,0.876519514,0.876519514
388,16,1,0.971239609,0.971239609
389,17,1,0.99977133,0.99977133
390,18,1,0.960170287,0.960170287
391,19,1,0.855135225,0.855135225
392,20,1,0.691824111,0.691824111
393,21,1,0.481366327,0.481366327
394,22,1,0.238104224,0.238104224
395,23,1,-0.021384289,0
396,0,1,-0.279415498,0
397,1,1,-0.518405003,0
398,2,1,-0.722066063,0
399,3,1,-0.876519514,0
400,4,1,-0.971239609,0
401,5,1,-0.99977133,0
402,6,1,-0.960170287,0
403,7,1,-0.855135225,0
404,8,1,-0.691824111,0
405,9,1,-0.481366327,0
406,10,1,-0.238104224,0
407,11,1,0.021384289,0.021384289
408,12,1,0.279415498,0.279415498
409,13,1,0.518405003,0.518405003
410,14,1,0.722066063,0.722066063
411,15,1,0.876519514,0.876519514
412,16,1,0.971239609,0.971239609
413,17,1,0.99977133,0.99977133
414,18,1,0.960170287,0.960170287
415,19,1,0.855135225,0.855135225
416,20,1,0.691824111,0.691824111
417,21,1,0.481366327,0.481366327
418,22,1,0.238104224,0.238104224
419,23,1,-0.021384289,0
420,0,1,-0.279415498,0
421,1,1,-0.518405003,0
422,2,1,-0.722066063,0
423,3,1,-0.876519514,0
424,4,1,-0.971239609,0
425,5,1,-0.99977133,0
426,6,1,-0.960170287,0
427,7,1,-0.855135225,0
428,8,1,-0.691824111,0
429,9,1,-0.481366327,0
430,10,1,-0.238104224,0
431,11,1,0.021384289,0.021384289
432,12,1,0.279415498,0.279415498
433,13,1,0.518405003,0.518405003
434,14,1,0.722066063,0.722066063
435,15,1,0.876519514,0.876519514
436,16,1,0.971239609,0.971239609
437,17,1,0.99977133,0.99977133
438,18,1,0.960170287,0.960170287
439,19,1,0.855135225,0.855135225
440,20,1,0.691824111,0.691824111
441,21,1,0.481366327,0.481366327
442,22,1,0.238104224,0.238104224
443,23,1,-0.021384289,0
444,0,1,-0.279415498,0
445,1,1,-0.518405003,0
446,2,1,-0.722066063,0
447,3,1,-0.876519514,0
448,4,1,-0.971239609,0
449,5,1,-0.99977133,0
450,6,1,-0.960170287,0
451,7,1,-0.855135225,0
452,8,1,-0.691824111,0
453,9,1,-0.481366327,0
454,10,1,-0.238104224,0
455,11,1,0.021384289,0.021384289
456,12,1,0.279415498,0.279415498
457,13,1,0.518405003,0.518405003
458,14,1,0.722066063,0.722066063
459,15,1,0.876519514,0.876519514
460,16,1,0.971239609,0.971239609
461,17,1,0.99977133,0.99977133
462,18,1,0.960170287,0.960170287
463,19,1,0.855135225,0.855135225
464,20,1,0.691824111,0.691824111
465,21,1,0.481366327,0.481366327
466,22,1,0.238104224,0.238104224
467,23,1,-0.021384289,0
468,0,1,-0.279415498,0
469,1,1,-0.518405003,0
470,2,1,-0.722066063,0
471,3,1,-0.876519514,0
472,4,1,-0.971239609,0
473,5,1,-0.99977133,0
474,6,1,-0.960170287,0
475,7,1,-0.855135225,0
476,8,1,-0.691824111,0
477,9,1,-0.481366327,0
478,10,1,-0.238104224,0
479,11,1,0.021384289,0.021384289
480,12,1,0.279415498,0.279415498
481,13,1,0.518405003,0.518405003
482,14,1,0.722066063,0.722066063
483,15,1,0.876519514,0.876519514
484,16,1,0.971239609,0.971239609
485,17,1,0.99977133,0.99977133
486,18,1,0.960170287,0.960170287
487,19,1,0.855135225,0.855135225
488,20,1,0.691824111,0.691824111
489,21,1,0.481366327,0.481366327
490,22,1,0.238104224,0.238104224
491,23,1,-0.021384289,0
492,0,1,-0.279415498,0
493,1,1,-0.518405003,0
494,2,1,-0.722066063,0
495,3,1,-0.876519514,0
496,4,1,-0.971239609,0
497,5,1,-0.99977133,0
498,6,1,-0.960170287,0
499,7,1,-0.855135225,0
500,8,1,-0.691824111,0
501,9,1,-0.481366327,0
502,10,1,-0.238104224,0
503,11,1,0.021384289,0.021384289
504,12,1,0.279415498,0.279415498
505,13,1,0.518405003,0.518405003
506,14,1,0.722066063,0.722066063
507,15,1,0.876519514,0.876519514
508,16,1,0.971239609,0.971239609
509,17,1,0.99977133,0.99977133
510,18,1,0.960170287,0.960170287
511,19,1,0.855135225,0.855135225
512,20,1,0.691824111,0.691824111
513,21,1,0.481366327,0.481366327
514,22,1,0.238104224,0.238104224
515,23,1,-0.021384289,0
516,0,1,-0.279415498,0
517,1,1,-0.518405003,0
518,2,1,-0.722066063,0
519,3,1,-0.876519514,0
520,4,1,-0.971239609,0
521,5,1,-0.99977133,0
522,6,1,-0.960170287,0
523,7,1,-0.855135225,0
524,8,1,-0.691824111,0
525,9,1,-0.481366327,0
526,10,1,-0.238104224,0
527,11,1,0.021384289,0.021384289
528,12,1,0.279415498,0.279415498
529,13,1,0.518405003,0.518405003
530,14,1,0.722066063,0.722066063
531,15,1,0.876519514,0.876519514
532,16,1,0.971239609,0.971239609
533,17,1,0.99977133,0.99977133
534,18,1,0.960170287,0.960170287
535,19,1,0.855135225,0.855135225
536,20,1,0.691824111,0.691824111
537,21,1,0.481366327,0.481366327
538,22,1,0.238104224,0.238104224
539,23,1,-0.021384289,0
540,0,1,-0.279415498,0
541,1,1,-0.518405003,0
542,2,1,-0.722066063,0
543,3,1,-0.876519514,0
544,4,1,-0.971239609,0
545,5,1,-0.99977133,0
546,6,1,-0.960170287,0
547,7,1,-0.855135225,0
548,8,1,-0.691824111,0
549,9,1,-0.481366327,0
550,10,1,-0.238104224,0
551,11,1,0.021384289,0.021384289
552,12,1,0.279415498,0.279415498
553,13,1,0.518405003,0.518405003
554,14,1,0.722066063,0.722066063
555,15,1,0.876519514,0.876519514
556,16,1,0.971239609,0.971239609
557,17,1,0.99977133,0.99977133
558,18,1,0.960170287,0.960170287
559,19,1,0.855135225,0.855135225
560,20,1,0.691824111,0.691824111
561,21,1,0.481366327,0.481366327
562,22,1,0.238104224,0.238104224
563,23,1,-0.021384289,0
564,0,1,-0.279415498,0
565,1,1,-0.518405003,0
566,2,1,-0.722066063,0
567,3,1,-0.876519514,0
568,4,1,-0.971239609,0
569,5,1,-0.99977133,0
570,6,1,-0.960170287,0
571,7,1,-0.855135225,0
572,8,1,-0.691824111,0
573,9,1,-0.481366327,0
574,10,1,-0.238104224,0
575,11,1,0.021384289,0.021384289
576,12,1,0.279415498,0.279415498
577,13,1,0.518405003,0.518405003
578,14,1,0.722066063,0.722066063
579,15,1,0.876519514,0.876519514
580,16,1,0.971239609,0.971239609
581,17,1,0.99977133,0.99977133
582,18,1,0.960170287,0.960170287
583,19,1,0.855135225,0.855135225
584,20,1,0.691824111,0.691824111
585,21,1,0.481366327,0.481366327
586,22,1,0.238104224,0.238104224
587,23,1,-0.021384289,0
588,0,1,-0.279415498,0
589,1,1,-0.518405003,0
590,2,1,-0.722066063,0
591,3,1,-0.876519514,0
592,4,1,-0.971239609,0
593,5,1,-0.99977133,0
594,6,1,-0.960170287,0
595,7,1,-0.855135225,0
596,8,1,-0.691824111,0
597,9,1,-0.481366327,0
598,10,1,-0.238104224,0
599,11,1,0.021384289,0.021384289
600,12,1,0.279415498,0.279415498
601,13,1,0.518405003,0.518405003
602,14,1,0.722066063,0.722066063
603,15,1,0.876519514,0.876519514
604,16,1,0.971239609,0.971239609
605,17,1,0.99977133,0.99977133
606,18,1,0.960170287,0.960170287
607,19,1,0.855135225,0.855135225
608,20,1,0.691824111,0.691824111
609,21,1,0.481366327,0.481366327
610,22,1,0.238104224,0.238104224
611,23,1,-0.021384289,0
612,0,1,-0.279415498,0
613,1,1,-0.518405003,0
614,2,1,-0.722066063,0
615,3,1,-0.876519514,0
616,4,1,-0.971239609,0
617,5,1,-0.99977133,0
618,6,1,-0.960170287,0
619,7,1,-0.855135225,0
620,8,1,-0.691824111,0
621,9,1,-0.481366327,0
622,10,1,-0.238104224,0
623,11,1,0.021384289,0.021384289
624,12,1,0.279415498,0.279415498
625,13,1,0.518405003,0.518405003
626,14,1,0.722066063,0.722066063
627,15,1,0.876519514,0.876519514
628,16,1,0.971239609,0.971239609
629,17,1,0.99977133,0.99977133
630,18,1,0.960170287,0.960170287
631,19,1,0.855135225,0.855135225
632,20,1,0.691824111,0.691824111
633,21,1,0.481366327,0.481366327
634,22,1,0.238104224,0.238104224
635,23,1,-0.021384289,0
636,0,1,-0.279415498,0
637,1,1,-0.518405003,0
638,2,1,-0.722066063,0
639,3,1,-0.876519514,0
640,4,1,-0.971239609,0
641,5,1,-0.99977133,0
642,6,1,-0.960170287,0
643,7,1,-0.855135225,0
644,8,1,-0.691824111,0
645,9,1,-0.481366327,0
646,10,1,-0.238104224,0
647,11,1,0.021384289,0.021384289
648,12,1,0.279415498,0.279415498
649,13,1,0.518405003,0.518405003
650,14,1,0.722066063,0.722066063
651,15,1,0.876519514,0.876519514
652,16,1,0.971239609,0.971239609
653,17,1,0.99977133,0.99977133
654,18,1,0.960170287,0.960170287
655,19,1,0.855135225,0.855135225
656,20,1,0.691824111,0.691824111
657,21,1,0.481366327,0.481366327
658,22,1,0.238104224,0.238104224
659,23,1,-0.021384289,0
660,0,1,-0.279415498,0
661,1,1,-0.518405003,0
662,2,1,-0.722066063,0
663,3,1,-0.876519514,0
664,4,1,-0.971239609,0
665,5,1,-0.99977133,0
666,6,1,-0.960170287,0
667,7,1,-0.855135225,0
668,8,1,-0.691824111,0
669,9,1,-0.481366327,0
670,10,1,-0.238104224,0
671,11,1,0.021384289,0.021384289
672,12,1,0.279415498,0.279415498
673,13,1,0.518405003,0.518405003
674,14,1,0.722066063,0.722066063
675,15,1,0.876519514,0.876519514
676,16,1,0.971239609,0.971239609
677,17,1,0.99977133,0.99977133
678,18,1,0.960170287,0.960170287
679,19,1,0.855135225,0.855135225
680,20,1,0.691824111,0.691824111
681,21,1,0.481366327,0.481366327
682,22,1,0.238104224,0.238104224
683,23,1,-0.021384289,0
684,0,1,-0.279415498,0
685,1,1,-0.518405003,0
686,2,1,-0.722066063,0
687,3,1,-0.876519514,0
688,4,1,-0.971239609,0
689,5,1,-0.99977133,0
690,6,1,-0.960170287,0
691,7,1,-0.855135225,0
692,8,1,-0.691824111,0
693,9,1,-0.481366327,0
694,10,1,-0.238104224,0
695,11,1,0.021384289,0.021384289
696,12,1,0.279415498,0.279415498
697,13,1,0.518405003,0.518405003
698,14,1,0.722066063,0.722066063
699,15,1,0.876519514,0.876519514
700,16,1,0.971239609,0.971239609
701,17,1,0.99977133,0.99977133
702,18,1,0.960170287,0.960170287
703,19,1,0.855135225,0.855135225
704,20,1,0.691824111,0.691824111
705,21,1,0.481366327,0.481366327
706,22,1,0.238104224,0.238104224
707,23,1,-0.021384289,0
708,0,1,-0.279415498,0
709,1,1,-0.518405003,0
710,2,1,-0.722066063,0
711,3,1,-0.876519514,0
712,4,1,-0.971239609,0
713,5,1,-0.99977133,0
714,6,1,-0.960170287,0
715,7,1,-0.855135225,0
716,8,1,-0.691824111,0
717,9,1,-0.481366327,0
718,10,1,-0.238104224,0
719,11,1,0.021384289,0.021384289
720,12,1,0.279415498,0.279415498
721,13,1,0.518405003,0.518405003
722,14,1,0.722066063,0.722066063
723,15,1,0.876519514,0.876519514
724,16,1,0.971239609,0.971239609
725,17,1,0.99977133,0.99977133
726,18,1,0.960170287,0.960170287
727,19,1,0.855135225,0.855135225
728,20,1,0.691824111,0.691824111
729,21,1,0.481366327,0.481366327
730,22,1,0.238104224,0.238104224
731,23,1,-0.021384289,0
732,0,1,-0.279415498,0
733,1,1,-0.518405003,0
734,2,1,-0.722066063,0
735,3,1,-0.876519514,0
736,4,1,-0.971239609,0
737,5,1,-0.99977133,0
738,6,1,-0.960170287,0
739,7,1,-0.855135225,0
740,8,1,-0.691824111,0
741,9,1,-0.481366327,0
742,10,1,-0.238104224,0
743,11,1,0.021384289,0.021384289
744,12,1,0.279415498,0.279415498
745,13,1,0.518405003,0.518405003
746,14,1,0.722066063,0.722066063
747,15,1,0.876519514,0.876519514
748,16,1,0.971239609,0.971239609
749,17,1,0.99977133,0.99977133
750,18,1,0.960170287,0.960170287
751,19,1,0.855135225,0.855135225
752,20,1,0.691824111,0.691824111
753,21,1,0.481366327,0.481366327
754,22,1,0.238104224,0.238104224
755,23,1,-0.021384289,0
756,0,1,-0.279415498,0
757,1,1,-0.518405003,0
758,2,1,-0.722066063,0
759,3,1,-0.876519514,0
760,4,1,-0.971239609,0
761,5,1,-0.99977133,0
762,6,1,-0.960170287,0
763,7,1,-0.855135225,0
764,8,1,-0.691824111,0
765,9,1,-0.481366327,0
766,10,1,-0.238104224,0
767,11,1,0.021384289,0.021384289
768,12,1,0.279415498,0.279415498
769,13,1,0.518405003,0.518405003
770,14,1,0.722066063,0.722066063
771,15,1,0.876519514,0.876519514
772,16,1,0.971239609,0.971239609
773,17,1,0.99977133,0.99977133
774,18,1,0.960170287,0.960170287
775,19,1,0.855135225,0.855135225
776,20,1,0.691824111,0.691824111
777,21,1,0.481366327,0.481366327
778,22,1,0.238104224,0.238104224
779,23,1,-0.021384289,0
780,0,1,-0.279415498,0
781,1,1,-0.518405003,0
782,2,1,-0.722066063,0
783,3,1,-0.876519514,0
784,4,1,-0.971239609,0
785,5,1,-0.99977133,0
786,6,1,-0.960170287,0
787,7,1,-0.855135225,0
788,8,1,-0.691824111,0
789,9,1,-0.481366327,0
790,10,1,-0.238104224,0
791,11,1,0.021384289,0.021384289
792,12,1,0.279415498,0.279415498
793,13,1,0.518405003,0.518405003
794,14,1,0.722066063,0.722066063
795,15,1,0.876519514,0.876519514
796,16,1,0.971239609,0.971239609
797,17,1,0.99977133,0.99977133
798,18,1,0.960170287,0.960170287
799,19,1,0.855135225,0.855135225
800,20,1,0.691824111,0.691824111
801,21,1,0.481366327,0.481366327
802,22,1,0.238104224,0.238104224
803,23,1,-0.021384289,0
804,0,1,-0.279415498,0
805,1,1,-0.518405003,0
806,2,1,-0.722066063,0
807,3,1,-0.876519514,0
808,4,1,-0.971239609,0
809,5,1,-0.99977133,0
810,6,1,-0.960170287,0
811,7,1,-0.855135225,0
812,8,1,-0.691824111,0
813,9,1,-0.481366327,0
814,10,1,-0.238104224,0
815,11,1,0.021384289,0.021384289
816,12,1,0.279415498,0.279415498
817,13,1,0.518405003,0.518405003
818,14,1,0.722066063,0.722066063
819,15,1,0.876519514,0.876519514
820,16,1,0.971239609,0.971239609
821,17,1,0.99977133,0.99977133
822,18,1,0.960170287,0.960170287
823,19,1,0.855135225,0.855135225
824,20,1,0.691824111,0.691824111
825,21,1,0.481366327,0.481366327
826,22,1,0.238104224,0.238104224
827,23,1,-0.021384289,0
828,0,1,-0.279415498,0
829,1,1,-0.518405003,0
830,2,1,-0.722066063,0
831,3,1,-0.876519514,0
832,4,1,-0.971239609,0
833,5,1,-0.99977133,0
834,6,1,-0.960170287,0
835,7,1,-0.855135225,0
836,8,1,-0.691824111,0
837,9,1,-0.481366327,0
838,10,1,-0.238104224,0
839,11,1,0.021384289,0.021384289
840,12,1,0.279415498,0.279415498
841,13,1,0.518405003,0.518405003
842,14,1,0.722066063,0.722066063
843,15,1,0.876519514,0.876519514
844,16,1,0.971239609,0.971239609
